Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
11057,classifier.3,"(3110, 3452)",13,12630,12630,0,0
11058,classifier.3,"(3994, 735)",15,12630,12630,0,0
11059,classifier.3,"(3601, 3871)",0,12630,12630,0,0
11060,classifier.3,"(254, 2726)",15,12630,12630,0,0
11061,classifier.3,"(1509, 616)",11,12630,12630,0,0
11062,classifier.3,"(1229, 1826)",24,12630,10554,2076,0
11063,classifier.3,"(2704, 3710)",23,12630,12630,0,0
11064,classifier.3,"(1599, 3987)",24,12630,12630,0,0
11065,classifier.3,"(2210, 2360)",21,12630,12630,0,0
11066,classifier.3,"(932, 1298)",20,12630,11091,1539,0
11067,classifier.3,"(3141, 1267)",10,12630,12630,0,0
11068,classifier.3,"(1254, 98)",13,12630,12630,0,0
11069,classifier.3,"(2298, 3341)",16,12630,12630,0,0
11070,classifier.3,"(2202, 1077)",24,12630,12630,0,0
11071,classifier.3,"(999, 1717)",3,12630,12630,0,0
11072,classifier.3,"(3666, 615)",24,12630,12630,0,0
11073,classifier.3,"(363, 3543)",12,12630,12630,0,0
11074,classifier.3,"(2154, 2784)",4,12630,12630,0,0
11075,classifier.3,"(302, 3148)",12,12630,12630,0,0
11076,classifier.3,"(1244, 1154)",4,12630,12630,0,0
11077,classifier.3,"(3122, 1193)",24,12630,12630,0,0
11078,classifier.3,"(120, 2507)",11,12630,12630,0,0
11079,classifier.3,"(3971, 3057)",31,12630,12630,0,0
11080,classifier.3,"(866, 468)",15,12630,12630,0,0
11081,classifier.3,"(3453, 1561)",0,12630,12630,0,0
11082,classifier.3,"(2951, 3085)",21,12630,12630,0,0
11083,classifier.3,"(3401, 1443)",20,12630,12230,400,0
11084,classifier.3,"(283, 3140)",19,12630,12630,0,0
11085,classifier.3,"(600, 1148)",13,12630,12630,0,0
11086,classifier.3,"(2614, 1377)",0,12630,12627,3,0
11087,classifier.3,"(3142, 254)",4,12630,12630,0,0
11088,classifier.3,"(751, 29)",29,12630,12597,33,0
11089,classifier.3,"(814, 2312)",11,12630,12630,0,0
11090,classifier.3,"(1673, 3278)",1,12630,12626,4,0
11091,classifier.3,"(2002, 3391)",1,12630,12630,0,0
11092,classifier.3,"(2733, 2344)",16,12630,12629,1,0
11093,classifier.3,"(2228, 1715)",31,12630,10984,1646,0
11094,classifier.3,"(1100, 925)",12,12630,12506,124,0
11095,classifier.3,"(1423, 3535)",31,12630,12630,0,0
11096,classifier.3,"(4061, 3413)",13,12630,12630,0,0
11097,classifier.3,"(1832, 595)",4,12630,12630,0,0
11098,classifier.3,"(449, 2493)",14,12630,12452,178,0
11099,classifier.3,"(2433, 1971)",2,12630,12630,0,0
