Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
247,conv3_x.0.residual_function.0,"(116, 51, 1, 2)",6,10000,10000,0,0
248,conv3_x.0.residual_function.0,"(80, 54, 1, 2)",16,10000,6,9992,2
249,conv3_x.0.residual_function.0,"(95, 19, 2, 1)",4,10000,10000,0,0
250,conv3_x.0.residual_function.0,"(23, 10, 0, 1)",6,10000,10000,0,0
251,conv3_x.0.residual_function.0,"(95, 16, 2, 0)",21,10000,0,9998,2
252,conv3_x.0.residual_function.0,"(31, 52, 1, 2)",27,10000,0,9998,2
253,conv3_x.0.residual_function.0,"(13, 36, 2, 1)",22,10000,0,9998,2
254,conv3_x.0.residual_function.0,"(26, 27, 0, 2)",30,10000,0,103,9897
255,conv3_x.0.residual_function.0,"(57, 13, 1, 2)",23,10000,0,9986,14
256,conv3_x.0.residual_function.0,"(29, 35, 2, 0)",27,10000,1,9995,4
257,conv3_x.0.residual_function.0,"(6, 34, 0, 0)",17,10000,1,9997,2
258,conv3_x.0.residual_function.0,"(79, 43, 1, 0)",11,10000,10000,0,0
259,conv3_x.0.residual_function.0,"(36, 51, 0, 0)",1,10000,10000,0,0
260,conv3_x.0.residual_function.0,"(23, 27, 1, 1)",29,10000,1,9997,2
261,conv3_x.0.residual_function.0,"(87, 20, 1, 1)",20,10000,0,9998,2
262,conv3_x.0.residual_function.0,"(21, 6, 0, 0)",3,10000,10000,0,0
263,conv3_x.0.residual_function.0,"(20, 34, 1, 2)",27,10000,0,10000,0
264,conv3_x.0.residual_function.0,"(124, 56, 1, 1)",13,10000,5316,4682,2
265,conv3_x.0.residual_function.0,"(29, 44, 1, 0)",18,10000,2,9994,4
266,conv3_x.0.residual_function.0,"(124, 39, 0, 0)",25,10000,65,9921,14
267,conv3_x.0.residual_function.0,"(14, 0, 0, 1)",13,10000,512,9486,2
268,conv3_x.0.residual_function.0,"(35, 32, 1, 1)",7,10000,10000,0,0
269,conv3_x.0.residual_function.0,"(1, 63, 2, 1)",11,10000,10000,0,0
270,conv3_x.0.residual_function.0,"(33, 48, 2, 2)",14,10000,386,9614,0
271,conv3_x.0.residual_function.0,"(90, 9, 1, 2)",2,10000,10000,0,0
272,conv3_x.0.residual_function.0,"(111, 2, 1, 0)",20,10000,2,9997,1
273,conv3_x.0.residual_function.0,"(109, 51, 2, 2)",26,10000,0,9995,5
274,conv3_x.0.residual_function.0,"(74, 14, 1, 0)",20,10000,0,9998,2
275,conv3_x.0.residual_function.0,"(43, 58, 2, 1)",5,10000,10000,0,0
276,conv3_x.0.residual_function.0,"(111, 13, 0, 1)",25,10000,0,9996,4
277,conv3_x.0.residual_function.0,"(20, 50, 1, 2)",21,10000,0,9998,2
278,conv3_x.0.residual_function.0,"(56, 42, 0, 0)",7,10000,10000,0,0
279,conv3_x.0.residual_function.0,"(49, 44, 1, 2)",9,10000,10000,0,0
280,conv3_x.0.residual_function.0,"(60, 13, 0, 1)",12,10000,5362,4638,0
281,conv3_x.0.residual_function.0,"(44, 19, 2, 0)",11,10000,10000,0,0
282,conv3_x.0.residual_function.0,"(126, 59, 2, 2)",28,10000,41,9957,2
283,conv3_x.0.residual_function.0,"(82, 40, 0, 1)",4,10000,10000,0,0
284,conv3_x.0.residual_function.0,"(120, 56, 2, 1)",17,10000,3,9994,3
285,conv3_x.0.residual_function.0,"(14, 45, 2, 0)",19,10000,0,9998,2
286,conv3_x.0.residual_function.0,"(118, 57, 0, 0)",23,10000,1,9997,2
287,conv3_x.0.residual_function.0,"(73, 9, 2, 0)",24,10000,10,9975,15
288,conv3_x.0.residual_function.0,"(118, 5, 1, 2)",12,10000,2,9995,3
289,conv3_x.0.residual_function.0,"(82, 60, 2, 0)",3,10000,10000,0,0
290,conv3_x.0.residual_function.0,"(115, 13, 1, 2)",5,10000,10000,0,0
291,conv3_x.0.residual_function.0,"(44, 5, 0, 2)",28,10000,0,9994,6
292,conv3_x.0.residual_function.0,"(112, 20, 1, 1)",18,10000,37,9961,2
293,conv3_x.0.residual_function.0,"(99, 52, 1, 2)",3,10000,10000,0,0
294,conv3_x.0.residual_function.0,"(85, 8, 1, 0)",24,10000,0,9996,4
295,conv3_x.0.residual_function.0,"(72, 32, 2, 2)",9,10000,10000,0,0
296,conv3_x.0.residual_function.0,"(85, 10, 2, 2)",9,10000,10000,0,0
297,conv3_x.0.residual_function.0,"(89, 39, 2, 2)",25,10000,1,9999,0
298,conv3_x.0.residual_function.0,"(33, 10, 1, 2)",24,10000,6031,3969,0
299,conv3_x.0.residual_function.0,"(84, 16, 2, 2)",5,10000,10000,0,0
300,conv3_x.0.residual_function.0,"(108, 46, 0, 1)",19,10000,4,9994,2
301,conv3_x.0.residual_function.0,"(46, 27, 1, 1)",12,10000,4843,5157,0
302,conv3_x.0.residual_function.0,"(57, 17, 0, 0)",18,10000,3,9994,3
303,conv3_x.0.residual_function.0,"(25, 4, 2, 1)",8,10000,10000,0,0
304,conv3_x.0.residual_function.0,"(96, 19, 0, 0)",10,10000,10000,0,0
305,conv3_x.0.residual_function.0,"(112, 5, 1, 1)",15,10000,3,9995,2
306,conv3_x.0.residual_function.0,"(113, 36, 2, 1)",14,10000,14,9984,2
307,conv3_x.0.residual_function.0,"(61, 39, 1, 0)",23,10000,11,9988,1
308,conv3_x.0.residual_function.0,"(112, 59, 1, 1)",26,10000,0,9877,123
309,conv3_x.0.residual_function.0,"(41, 25, 2, 0)",16,10000,28,9970,2
310,conv3_x.0.residual_function.0,"(13, 61, 1, 2)",6,10000,10000,0,0
311,conv3_x.0.residual_function.0,"(31, 36, 0, 0)",17,10000,224,9774,2
312,conv3_x.0.residual_function.0,"(115, 18, 1, 0)",14,10000,403,9597,0
313,conv3_x.0.residual_function.0,"(115, 44, 0, 1)",3,10000,10000,0,0
314,conv3_x.0.residual_function.0,"(101, 47, 0, 1)",5,10000,10000,0,0
315,conv3_x.0.residual_function.0,"(95, 28, 0, 1)",6,10000,10000,0,0
316,conv3_x.0.residual_function.0,"(85, 18, 0, 0)",18,10000,0,9998,2
317,conv3_x.0.residual_function.0,"(120, 17, 2, 1)",28,10000,0,9999,1
318,conv3_x.0.residual_function.0,"(1, 10, 0, 1)",13,10000,9966,34,0
319,conv3_x.0.residual_function.0,"(38, 54, 0, 1)",15,10000,20,9978,2
320,conv3_x.0.residual_function.0,"(77, 15, 0, 0)",26,10000,4,9901,95
