Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
15463,layer3.2.conv2,"(44, 33, 0, 2)",12,12630,245,12385,0
15464,layer3.2.conv2,"(32, 21, 2, 0)",11,12630,12630,0,0
15465,layer3.2.conv2,"(10, 22, 2, 1)",12,12630,2201,10429,0
15466,layer3.2.conv2,"(0, 18, 1, 2)",12,12630,405,12225,0
15467,layer3.2.conv2,"(31, 2, 0, 1)",4,12630,12630,0,0
15468,layer3.2.conv2,"(30, 17, 0, 1)",27,12630,1,12628,1
15469,layer3.2.conv2,"(1, 32, 2, 2)",30,12630,0,77,12553
15470,layer3.2.conv2,"(33, 38, 1, 2)",14,12630,165,12465,0
15471,layer3.2.conv2,"(1, 13, 0, 0)",28,12630,8,12622,0
15472,layer3.2.conv2,"(1, 62, 1, 1)",30,12630,0,77,12553
15473,layer3.2.conv2,"(39, 43, 0, 0)",18,12630,66,12564,0
15474,layer3.2.conv2,"(24, 31, 1, 2)",29,12630,27,12602,1
15475,layer3.2.conv2,"(38, 28, 1, 0)",4,12630,12630,0,0
15476,layer3.2.conv2,"(9, 5, 0, 0)",25,12630,254,12356,20
15477,layer3.2.conv2,"(10, 26, 1, 0)",30,12630,18,12543,69
15478,layer3.2.conv2,"(41, 3, 1, 0)",20,12630,0,12630,0
15479,layer3.2.conv2,"(7, 28, 0, 2)",23,12630,146,12482,2
15480,layer3.2.conv2,"(12, 14, 1, 0)",30,12630,40,711,11879
15481,layer3.2.conv2,"(36, 45, 2, 1)",15,12630,136,12494,0
15482,layer3.2.conv2,"(52, 21, 1, 0)",0,12630,12630,0,0
15483,layer3.2.conv2,"(31, 34, 2, 2)",8,12630,12630,0,0
15484,layer3.2.conv2,"(55, 0, 0, 1)",15,12630,0,12630,0
15485,layer3.2.conv2,"(23, 16, 1, 2)",8,12630,12630,0,0
15486,layer3.2.conv2,"(57, 17, 2, 2)",29,12630,9,12620,1
15487,layer3.2.conv2,"(3, 16, 0, 2)",19,12630,72,12558,0
15488,layer3.2.conv2,"(1, 2, 2, 2)",31,12630,513,12117,0
15489,layer3.2.conv2,"(42, 10, 0, 0)",11,12630,12630,0,0
15490,layer3.2.conv2,"(30, 33, 0, 2)",26,12630,0,12630,0
15491,layer3.2.conv2,"(45, 53, 1, 2)",22,12630,0,12630,0
15492,layer3.2.conv2,"(48, 35, 2, 1)",5,12630,12630,0,0
15493,layer3.2.conv2,"(56, 8, 0, 0)",14,12630,8,12622,0
15494,layer3.2.conv2,"(20, 18, 2, 1)",19,12630,0,12630,0
15495,layer3.2.conv2,"(22, 21, 0, 0)",18,12630,372,12258,0
15496,layer3.2.conv2,"(26, 27, 0, 0)",15,12630,632,11998,0
15497,layer3.2.conv2,"(29, 4, 0, 2)",3,12630,12630,0,0
15498,layer3.2.conv2,"(37, 21, 2, 1)",24,12630,171,12457,2
15499,layer3.2.conv2,"(0, 24, 0, 0)",12,12630,229,12401,0
15500,layer3.2.conv2,"(0, 43, 2, 1)",11,12630,12630,0,0
15501,layer3.2.conv2,"(3, 21, 0, 1)",22,12630,450,12180,0
15502,layer3.2.conv2,"(19, 6, 0, 2)",11,12630,12630,0,0
15503,layer3.2.conv2,"(41, 45, 1, 2)",13,12630,273,12357,0
15504,layer3.2.conv2,"(10, 55, 0, 1)",10,12630,12630,0,0
15505,layer3.2.conv2,"(28, 14, 1, 0)",30,12630,385,12096,149
