Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
12684,layers.16.conv3,"(301, 103, 0, 0)",27,10000,0,10000,0
12685,layers.16.conv3,"(314, 425, 0, 0)",10,10000,10000,0,0
12686,layers.16.conv3,"(232, 807, 0, 0)",11,10000,8398,1602,0
12687,layers.16.conv3,"(91, 388, 0, 0)",12,10000,10000,0,0
12688,layers.16.conv3,"(33, 578, 0, 0)",19,10000,10000,0,0
12689,layers.16.conv3,"(99, 430, 0, 0)",2,10000,10000,0,0
12690,layers.16.conv3,"(22, 440, 0, 0)",10,10000,10000,0,0
12691,layers.16.conv3,"(216, 469, 0, 0)",27,10000,10000,0,0
12692,layers.16.conv3,"(299, 88, 0, 0)",0,10000,823,9177,0
12693,layers.16.conv3,"(37, 161, 0, 0)",22,10000,10000,0,0
12694,layers.16.conv3,"(149, 80, 0, 0)",24,10000,2750,7250,0
12695,layers.16.conv3,"(13, 499, 0, 0)",2,10000,10000,0,0
12696,layers.16.conv3,"(0, 441, 0, 0)",10,10000,3707,6293,0
12697,layers.16.conv3,"(280, 339, 0, 0)",2,10000,10000,0,0
12698,layers.16.conv3,"(133, 335, 0, 0)",25,10000,10000,0,0
12699,layers.16.conv3,"(273, 883, 0, 0)",9,10000,10000,0,0
12700,layers.16.conv3,"(77, 882, 0, 0)",1,10000,10000,0,0
12701,layers.16.conv3,"(197, 949, 0, 0)",28,10000,36,9964,0
12702,layers.16.conv3,"(156, 657, 0, 0)",17,10000,10000,0,0
12703,layers.16.conv3,"(69, 653, 0, 0)",0,10000,482,1000,8518
12704,layers.16.conv3,"(107, 941, 0, 0)",0,10000,10000,0,0
12705,layers.16.conv3,"(193, 751, 0, 0)",4,10000,10000,0,0
12706,layers.16.conv3,"(255, 28, 0, 0)",26,10000,1293,8707,0
12707,layers.16.conv3,"(268, 483, 0, 0)",31,10000,9852,148,0
12708,layers.16.conv3,"(312, 397, 0, 0)",5,10000,10000,0,0
12709,layers.16.conv3,"(222, 495, 0, 0)",15,10000,10000,0,0
12710,layers.16.conv3,"(20, 271, 0, 0)",14,10000,14,1001,8985
12711,layers.16.conv3,"(203, 825, 0, 0)",6,10000,10000,0,0
12712,layers.16.conv3,"(208, 686, 0, 0)",6,10000,10000,0,0
12713,layers.16.conv3,"(115, 432, 0, 0)",10,10000,10000,0,0
12714,layers.16.conv3,"(78, 880, 0, 0)",4,10000,10000,0,0
12715,layers.16.conv3,"(14, 142, 0, 0)",1,10000,10000,0,0
12716,layers.16.conv3,"(186, 25, 0, 0)",16,10000,7055,2945,0
12717,layers.16.conv3,"(248, 563, 0, 0)",4,10000,10000,0,0
12718,layers.16.conv3,"(136, 406, 0, 0)",16,10000,2445,7555,0
12719,layers.16.conv3,"(227, 309, 0, 0)",19,10000,10000,0,0
12720,layers.16.conv3,"(106, 318, 0, 0)",7,10000,3353,6647,0
12721,layers.16.conv3,"(239, 842, 0, 0)",27,10000,10000,0,0
12722,layers.16.conv3,"(197, 91, 0, 0)",5,10000,10000,0,0
12723,layers.16.conv3,"(113, 174, 0, 0)",23,10000,32,9968,0
12724,layers.16.conv3,"(5, 117, 0, 0)",5,10000,9952,48,0
12725,layers.16.conv3,"(20, 782, 0, 0)",6,10000,7607,2393,0
12726,layers.16.conv3,"(200, 347, 0, 0)",9,10000,6305,3695,0
12727,layers.16.conv3,"(193, 684, 0, 0)",21,10000,10000,0,0
12728,layers.16.conv3,"(38, 746, 0, 0)",13,10000,1188,8812,0
12729,layers.16.conv3,"(31, 617, 0, 0)",21,10000,10000,0,0
12730,layers.16.conv3,"(261, 89, 0, 0)",11,10000,10000,0,0
12731,layers.16.conv3,"(307, 880, 0, 0)",0,10000,10000,0,0
12732,layers.16.conv3,"(138, 132, 0, 0)",23,10000,10000,0,0
